date,value
2021-01-01,320.44
2021-01-02,315.84
2021-01-03,315.15
2021-01-04,287.23
2021-01-05,278.34
2021-01-06,287.55
2021-01-07,298.75
2021-01-08,294.13
2021-01-09,291.11
2021-01-10,288.13
2021-01-11,279.64
2021-01-12,272.2
2021-01-13,268.28
2021-01-14,223.89
2021-01-15,229.07
2021-01-16,221.59
2021-01-17,211.73
2021-01-18,218.69
2021-01-19,216.73
2021-01-20,215.24
2021-01-21,227.79
2021-01-22,237.02
2021-01-23,234.84
2021-01-24,248.21
2021-01-25,255.07
2021-01-26,309.38
2021-01-27,275.48
2021-01-28,266.54
2021-01-29,238.71
2021-01-30,242.85
2021-01-31,233.5
2021-02-01,231.57
2021-02-02,242.18
2021-02-03,245.96
2021-02-04,230.06
2021-02-05,239.41
2021-02-06,230.51
2021-02-07,230.3
2021-02-08,229.44
2021-02-09,223.98
2021-02-10,221.81
2021-02-11,223.41
2021-02-12,222.2
2021-02-13,240.26
2021-02-14,259.81
2021-02-15,265.61
2021-02-16,239.52
2021-02-17,245.78
2021-02-18,244.25
2021-02-19,242.67
2021-02-20,247.1
2021-02-21,255.32
2021-02-22,246.39
2021-02-23,240.11
2021-02-24,239.9
2021-02-25,239.34
2021-02-26,237.71
2021-02-27,256.65
2021-02-28,254.69
2021-03-01,261.66
2021-03-02,276.3
2021-03-03,285.8
2021-03-04,284.23
2021-03-05,281.67
2021-03-06,277.61
2021-03-07,277.85
2021-03-08,277.86
2021-03-09,292.7
2021-03-10,300.04
2021-03-11,297.39
2021-03-12,297.09
2021-03-13,294.5
2021-03-14,286.34
2021-03-15,286.53
2021-03-16,294.11
2021-03-17,292.37
2021-03-18,285.34
2021-03-19,264.24
2021-03-20,264.85
2021-03-21,262.2
2021-03-22,269.75
2021-03-23,277.3
2021-03-24,267
2021-03-25,249.19
2021-03-26,254.35
2021-03-27,256.81
2021-03-28,254.21
2021-03-29,253.14
2021-03-30,249.24
2021-03-31,248.73
2021-04-01,247.54
2021-04-02,254.46
2021-04-03,256.04
2021-04-04,255.26
2021-04-05,260.68
2021-04-06,261.8
2021-04-07,255.81
2021-04-08,253.85
2021-04-09,246.12
2021-04-10,243.69
2021-04-11,239.54
2021-04-12,237.73
2021-04-13,236.94
2021-04-14,224.98
2021-04-15,223.83
2021-04-16,229.67
2021-04-17,228.91
2021-04-18,224.32
2021-04-19,226.35
2021-04-20,226.35
2021-04-21,235.27
2021-04-22,337.91
2021-04-23,336.47
2021-04-24,436.31
2021-04-25,432.56
2021-04-26,426.94
2021-04-27,533.31
2021-04-28,529.5
2021-04-29,527.04
2021-04-30,639.56
2021-05-01,538.97
2021-05-02,535.73
2021-05-03,243.24
2021-05-04,242.64
2021-05-05,239.2
2021-05-06,236.45
2021-05-07,239.1
2021-05-08,246.28
2021-05-09,247.8
2021-05-10,244.07
2021-05-11,244.27
2021-05-12,242.88
2021-05-13,243.7
2021-05-14,237.8
2021-05-15,238.75
2021-05-16,237.7
2021-05-17,238.03
2021-05-18,237.21
2021-05-19,234.15
2021-05-20,234.68
2021-05-21,236.24
2021-05-22,240.97
2021-05-23,241.03
2021-05-24,241.98
2021-05-25,241.02
2021-05-26,238.24
2021-05-27,238.64
2021-05-28,237.82
2021-05-29,237.52
2021-05-30,237.09
2021-05-31,233.25
2021-06-01,231.71
2021-06-02,226.42
2021-06-03,227.4
2021-06-04,226.58
2021-06-05,225.97
2021-06-06,225.72
2021-06-07,226.19
2021-06-08,229.46
2021-06-09,230.95
2021-06-10,229.78
2021-06-11,230.29
2021-06-12,231.06
2021-06-13,232.65
2021-06-14,234.86
2021-06-15,237.84
2021-06-16,251.74
2021-06-17,256.85
2021-06-18,252.11
2021-06-19,250.98
2021-06-20,245.83
2021-06-21,245.22
2021-06-22,247.92
2021-06-23,247.3
2021-06-24,244.34
2021-06-25,243.33
2021-06-26,243.75
2021-06-27,251.34
2021-06-28,251.17
2021-06-29,257.17
2021-06-30,267.87
2021-07-01,265.17
2021-07-02,261.63
2021-07-03,257.08
2021-07-04,261.46
2021-07-05,274.51
2021-07-06,277.42
2021-07-07,271.34
2021-07-08,272.97
2021-07-09,272.33
2021-07-10,294.59
2021-07-11,298.51
2021-07-12,314.39
2021-07-13,310.95
2021-07-14,296.15
2021-07-15,293.25
2021-07-16,291.18
2021-07-17,280.28
2021-07-18,282.53
2021-07-19,275.67
2021-07-20,278.98
2021-07-21,280.55
2021-07-22,277.67
2021-07-23,278.11
2021-07-24,289.25
2021-07-25,290.73
2021-07-26,293.05
2021-07-27,297.77
2021-07-28,296.65
2021-07-29,294.54
2021-07-30,290.13
2021-07-31,288.96
2021-08-01,284.93
2021-08-02,283.03
2021-08-03,285.47
2021-08-04,285.71
2021-08-05,285.5
2021-08-06,281.91
2021-08-07,280.39
2021-08-08,279.93
2021-08-09,267
2021-08-10,267.03
2021-08-11,270.39
2021-08-12,270.67
2021-08-13,266.23
2021-08-14,267.47
2021-08-15,266.67
2021-08-16,262.44
2021-08-17,260.5
2021-08-18,257.99
2021-08-19,237.41
2021-08-20,237.37
2021-08-21,236.43
2021-08-22,234.96
